post_id,forum_user_id
2,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
1,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
7,9ae0f6cfb9e83db30faca2b87203b46995f96654
17,9ae0f6cfb9e83db30faca2b87203b46995f96654
21,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
26,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
17,c6f1441783a003726231953de9fbb7e592ed92be
17,c6f1441783a003726231953de9fbb7e592ed92be
46,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
58,c058be47899fb116b6080abb66c49df7fea7a461
66,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
93,9b6433c72026584dbb0e3b5ae1b2e3883b02e556
21,9b6433c72026584dbb0e3b5ae1b2e3883b02e556
103,4bf725f1c124f99ebb08c9d6ef0b55e7a58ea379
93,c30fa5c0b18bfa0fa30a2aef088e7d0c569057f4
103,a3dce0c7a8e6ee68b18c82e7773726659a1ca158
109,a374daa0ab4f2e32cd835dd24049b715081e1030
108,9ead4a5c9b4f969cf4c969ac35ce411f879a0b8e
115,aac5f4884efea9c8810c8bcb1b8910ecd500f60b
93,9b6433c72026584dbb0e3b5ae1b2e3883b02e556
44,50140832e7c0f150049bf29758986a82d178055e
70,50140832e7c0f150049bf29758986a82d178055e
114,50140832e7c0f150049bf29758986a82d178055e
114,50140832e7c0f150049bf29758986a82d178055e
93,c30fa5c0b18bfa0fa30a2aef088e7d0c569057f4
114,50140832e7c0f150049bf29758986a82d178055e
17,5a767e2af9d12ec1c09dab9eb98638d9a5f8885d
120,9415d1e5623a6e82d22672c6a06e9e80359a28e3
98,c69d3e4cc0b1c246122687229d96fa861da84e42
29,cafcae66be212c7044b9845151f2191df355ef64
145,c7da9f25198eee522753291d958e0287f4d1f41e
142,c30fa5c0b18bfa0fa30a2aef088e7d0c569057f4
142,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
142,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
157,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
142,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
142,c30fa5c0b18bfa0fa30a2aef088e7d0c569057f4
89,be06d95dd4b2b78b94a193695d50d16ac0efc97f
115,60de574ce280106cf1d364f12da4cc91b2b60404
44,60de574ce280106cf1d364f12da4cc91b2b60404
139,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
109,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
21,ce2d6d34690b17a821cafbf57690f40d5c2ae12f
164,cf04eda15ead3ffb972c4367de54e71d1ac1405c
57,ce2d6d34690b17a821cafbf57690f40d5c2ae12f
164,60de574ce280106cf1d364f12da4cc91b2b60404
139,60de574ce280106cf1d364f12da4cc91b2b60404
139,5a767e2af9d12ec1c09dab9eb98638d9a5f8885d
72,437b3fa7018b8c0ff814dbf12f04593bfa5f7490
7,437b3fa7018b8c0ff814dbf12f04593bfa5f7490
44,50140832e7c0f150049bf29758986a82d178055e
120,149225a75842d802f77ee43545137bcb978cdb38
181,60de574ce280106cf1d364f12da4cc91b2b60404
9,661bef2751723bbb66a94772ddf00fbcc0807313
181,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
181,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
187,40bd1dc52753049cf4c081e6b80bbbd6059a7b8c
187,535d451de58dc359ec6410fca989630bc4627df0
9,40bd1dc52753049cf4c081e6b80bbbd6059a7b8c
100,40bd1dc52753049cf4c081e6b80bbbd6059a7b8c
139,40bd1dc52753049cf4c081e6b80bbbd6059a7b8c
187,40bd1dc52753049cf4c081e6b80bbbd6059a7b8c
172,40bd1dc52753049cf4c081e6b80bbbd6059a7b8c
189,b1eacfc2ebdc91f89743e9e7a70b4195e99c6ce5
189,6807a8842ad4e05985014e1a56fe47d9dc4965c5
181,540e3d24e61c6a6ffaeab718d8ffb0459220b48b
72,3dcbb05c736751afd33c54619ad092c88584c3b8
193,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
184,5847249046a5b63fd2f702e6da8c4f7cb9a196e4
88,87c777b6e9eec078f27bad6b988c88566371c230
202,4bf725f1c124f99ebb08c9d6ef0b55e7a58ea379
184,a4bc432c5388d2f552820f063e5d47cab9f6d055
111,1e0a7e2782ebb60870d4d09a44240736db95091a
191,e012fde1b0f0d28349f3fc57189045c0717ea9bd
191,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
226,a4bc432c5388d2f552820f063e5d47cab9f6d055
234,13c46b208ffd5791e63a8421d4ebcdacc9331bd9
239,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
234,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
241,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
216,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
191,4ed17d6d397aeb47169aeb911455681d592a5985
251,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
251,206c818e22e8283380b5968656bd4846918344d1
242,a9d3847b51687cc209c8eaccec0fa7959fdf9331
258,99672c4bb7a84d4fe2c6edecf55a671a9d4a3121
209,da76ebb2720152a1a52ce983b85f842eb0d02af3
92,da76ebb2720152a1a52ce983b85f842eb0d02af3
274,46a463802115b4f130bb9dd00a707fe8bcc226aa
164,cf04eda15ead3ffb972c4367de54e71d1ac1405c
292,f648094ca8dfecf900ffb00ca1180062048808be
299,c8a266754af12e750224320e107a9ffd4a382c37
300,c8a266754af12e750224320e107a9ffd4a382c37
299,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
293,e0969ab184672f9098a3218ac159ecc462f8a859
307,c8a266754af12e750224320e107a9ffd4a382c37
306,fd458a6a04401610c833cedba36191d1043156e9
314,d8a2fa314965435502629e09f0595673d1ed0375
312,d8a2fa314965435502629e09f0595673d1ed0375
314,da76ebb2720152a1a52ce983b85f842eb0d02af3
312,84eea632cc9dbb56079ed4495aea349529c53a0e
31,c2ed151d20a49125fc63f2a796c4beb1f720a5b8
330,d2e7a9ce914fa81d2c030c9f4c1aa1cdede3f11b
331,965219219fa92e65bd3cbbdb99cf67af0fa38915
314,a7bfedaef76c8dda63716c74ea2e2d165e833334
330,ccb2589d4f96ee79869d046b69000b288ffdc254
331,6997577359be94032851b24c07764193109941dc
334,cd9edd478cd9f3c04a68447bfdb1e931d31e3060
335,e7ca0ec78430f4c8439ead2a32237fba26cc770a
314,fd458a6a04401610c833cedba36191d1043156e9
314,fd458a6a04401610c833cedba36191d1043156e9
354,c89a9e6f099a12503d32f78d6ce0ecd1634c2dcb
356,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
368,4c2f06eea5c277460914ef0593c902d47aca20f2
356,ec0c35e038a0553547d402d2fd6eec86679dcfe9
370,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
339,dfc8a3cb333fe543939d4cf13385e77ba55b8c63
377,69346b42aa1e65aca2dbe64365e7c7037ca69302
373,69346b42aa1e65aca2dbe64365e7c7037ca69302
376,f654be667e1e208113f1eb147ee061a936362670
66,613beea583ed4266b0e9169dfd3e9ca5d128de65
355,e5f388e39aad32f4033c77a4e93a477d7235d267
397,7017eb7d91026d600fe7823a3e8fbbfc937b703d
22,8202a93ad1eef74008a8b9667644c7fd7b5d7864
6,8ac9a4f47169d906f078068346dd483a5ca67144
403,57154ff9786eef470a0364451935d07f02edf5e9
44,563728bf6d56b5986720eb9151dd8c2c0e1ce7df
44,60de574ce280106cf1d364f12da4cc91b2b60404
66,b8a804b4dcd488fb13a6a035cd846af53ca2359a
66,ec0c35e038a0553547d402d2fd6eec86679dcfe9
66,b8a804b4dcd488fb13a6a035cd846af53ca2359a
66,c1fed7560fe0e6d77dd2df39e7464030ee2b2909
21,50c4b2b2db8bc639391b17b947664cde80c5f106
377,c5a565c06337a774e82613184416da4062d98863
421,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
44,50140832e7c0f150049bf29758986a82d178055e
419,aec84b562bc5855efbcbe8f711ddc59e67971135
432,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
345,695b247f720bd8fe65dcca36b41df95831150163
397,68738e8421cb08ac32970a3a7cb5fcbd427fba65
445,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
465,a374daa0ab4f2e32cd835dd24049b715081e1030
433,965219219fa92e65bd3cbbdb99cf67af0fa38915
370,cb1e4b0628f58d1b8775526662b85932f83af0f3
478,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
447,e99fdd408b9870bcf17419d5e212c0a364a4dbd0
447,68738e8421cb08ac32970a3a7cb5fcbd427fba65
258,f8dd082b17cea34b5206a6fa7b3f830dfdd63360
455,c8ce2c1f42fd03193823fb9c3572e82217c3048f
518,4a96611a105f770d914aae49f6ea3756a3c619cd
339,cd050889af929291948060f9862ef6d359dada22
258,9d32eb7bed1f9b312878ec4f56c7a30718be5fc4
450,9d32eb7bed1f9b312878ec4f56c7a30718be5fc4
204,cf625783a93127718cdd00f122f4b133b61f3bf0
545,cf625783a93127718cdd00f122f4b133b61f3bf0
204,d1c2e18c24bf43a2aa85226aa54a7265ec98d777
207,d1c2e18c24bf43a2aa85226aa54a7265ec98d777
236,d1c2e18c24bf43a2aa85226aa54a7265ec98d777
276,d1c2e18c24bf43a2aa85226aa54a7265ec98d777
